"st_abbr","pop","degrees"
"CA",38802500,550509
"NY",19746227,333690
"FL",19893297,324106
"TX",26956958,320099
"IL",12880580,229623
"PA",12787209,204882
"AZ",6731484,192699
"OH",11594163,167144
"MI",9909877,150684
"MA",6745408,135380
"VA",8326289,134263
"GA",10097343,132751
"NC",9943964,130806
"WA",7061530,107504
"MN",5457173,107431
"IN",6596855,102921
"MO",6063589,102788
"NJ",8938175,101707
"WI",5757564,90437
"CO",5355866,88638
"IA",3107126,88455
"TN",6549352,85868
"MD",5976407,84794
"KY",4413457,72603
"AL",4849377,68763
"LA",4649676,68482
"UT",2942902,62699
"OR",3970239,58820
"SC",4832482,56693
"OK",3878051,55549
"CT",3596677,53862
"KS",2904021,52471
"AR",2966369,42620
"MS",2994079,37322
"NM",2085572,33097
"NE",1881503,31825
"WV",1850326,31196
"DC",658893,27514
"NV",2839099,22717
"ID",1634464,22124
"RI",1055173,21450
"NH",1326813,20323
"ME",1330089,15620
"HI",1419561,14877
"DE",935614,14029
"VT",626562,12352
"ND",739482,12316
"SD",853175,11895
"MT",1023579,10927
"WY",584153,8367
"AK",736732,6952
